video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
_lHMwpOVioU,UCIRYBXDze5krPDzAEOxFGVA,coronavirus us cdc director updates on covid pandemic and vaccine expectations  watch live,Guardian News,News & Politics,none,13252,54,0,102,2020-12-02T17:12:41Z,"cdc,us,us coronavirus,corona,covid,covid-19,covid vaccine,coronavirus vaccine,vaccine news,coronavirus latest,covid latest,corona latest,robert redfield,covid news,pandemic,social distancing,vaccines,donald trump,christmas covid,coronavirus christmas,redfield live,robert redfield live,live,2020,coronavirus,covid usa,coronavirus usa,redfield testimony,robert redfield testimony,politics,news,coronavirus cases,coronavirus treatment,covid cure,jab,drugs",PT1H6M55S,hd,False,https://i.ytimg.com/vi/_lHMwpOVioU/default.jpg,https://www.youtube.com/watch?v=_lHMwpOVioU
jriTvPdKXjs,UCIRYBXDze5krPDzAEOxFGVA,coronavirus mike pence presents us plans to tackle covid outbreak,Guardian News,News & Politics,none,34206,138,0,93,2020-03-11T10:45:55Z,"US coronavirus cases,coronavirus,covid-19,us,us news,us politics,covid-19 outbreak,mike pence,donald trump,trump administration,trump,virus,us virus,health,pandemic,epidemic,medicare,medicare coronavirus,coronavirus in the us,coronavirus test,coronavirus test in the us,testing,coronavirus us,us coronavirus,mike pence coronavirus,pence,outbreak,covid 19,corona,coronavirus news,2020,us plans,world,coronavirus outbreak,mike pence covid 19,pence coronavirus",PT1M29S,hd,True,https://i.ytimg.com/vi/jriTvPdKXjs/default.jpg,https://www.youtube.com/watch?v=jriTvPdKXjs
LVqBcMjfPkM,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who gives update on covid pandemic in europe  watch live,Guardian News,News & Politics,none,3664,20,0,8,2021-06-10T09:35:58Z,"2021,coronavirus,coronavirus cases,coronavirus latest,coronavirus news,coronavirus vaccines,covid,covid 19,covid cases,covid europe,covid latest,covid live news,covid news,covid news live,covid uk,covid vaccine,covid-19,covid-19 news,dr hans kluge,guardian,hans kluge,hans kluge who,live,pandemic,the who,vaccines,who,who briefing live,who live,world health,world health organisation,corona,coronavirus news live,covid 19 news,covid 19 uk,virus,news",PT17M31S,hd,False,https://i.ytimg.com/vi/LVqBcMjfPkM/default.jpg,https://www.youtube.com/watch?v=LVqBcMjfPkM
M7PqKud3DE0,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who provides update on the latest developments in the global pandemic  watch live,Guardian News,News & Politics,none,4384,63,0,9,2021-03-12T18:12:10Z,"2021,coronavirus,coronavirus live updates,coronavirus news,covax,covid,covid briefing,covid cases,covid deaths,covid latest,covid news,covid news live,covid pandemic,covid update,covid vaccine,covid-19,covid-19 live updates,covid-19 update,global pandemic,health,news,pandemic,tedros,vaccine,vaccine rollout,virus,virus news,who,who briefing,who live,world,world health organization,covax vaccine,covax facility,tedros live,who press conference,guardian",PT1H28M30S,hd,False,https://i.ytimg.com/vi/M7PqKud3DE0/default.jpg,https://www.youtube.com/watch?v=M7PqKud3DE0
5EDOLQJ1hBo,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who holds news conference on covid outbreak  as it happened,Guardian News,News & Politics,none,15810,91,0,63,2020-03-03T16:50:31Z,,PT1H22M26S,hd,False,https://i.ytimg.com/vi/5EDOLQJ1hBo/default.jpg,https://www.youtube.com/watch?v=5EDOLQJ1hBo
J4LgwgzXzsQ,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who leaders take questions from the public on covid pandemic  watch live,Guardian News,News & Politics,none,4304,42,0,26,2020-07-22T17:07:02Z,"who,who coronavirus live,who briefing,who vaccine,who live,coronavirus live,who update live,coronavirus live news,the who,world health organization,coronavirus,covid,covid 19,covid-19,covid-19 news,coronavirus outbreak,coronavirus lockdown,coronavirus news,coronavirus update,coronavirus test,pandemic,social distancing,coronavirus spread,covid answers,who take questions,masks,who q&a",PT49M26S,hd,False,https://i.ytimg.com/vi/J4LgwgzXzsQ/default.jpg,https://www.youtube.com/watch?v=J4LgwgzXzsQ
3jpXAMwRSu4,UCIRYBXDze5krPDzAEOxFGVA,how to stop the spread of coronavirus,Guardian News,News & Politics,none,495531,3308,0,448,2020-03-04T15:50:11Z,"coronavirus,science,gdnpfpscience,uk,gdnpfpnewsuk,coronavirus news,coronavirus cure,coronavirus vaccine,coronavirus outbreak,covid,how to stop coronavirus,What to do if you get coronavirus,coronavirus uk,coronavirus explained,coronavirus update,what is coronavirus,gdnpfpnewsworld,stop coronavirus,coronavirus outbreak explained,wash your hands,2020,coronavirus symptoms,coronavirus spread,virus,china,covid 19,health-and-wellbeing,gdnpfplifestylehealthfitness,corona",PT4M31S,hd,True,https://i.ytimg.com/vi/3jpXAMwRSu4/default.jpg,https://www.youtube.com/watch?v=3jpXAMwRSu4
k8cMSNEUwR4,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who officials provide update on global pandemic  watch live,Guardian News,News & Politics,none,18621,169,0,31,2020-12-28T18:24:26Z,"WHO,world health organization,PANDEMIC,pandemic news,world,world news,world health,coronavirus,coronavirus latest,coronavirus live,who live,world health organization live,corona,corona latest,corona news,virus,virus latest,pandemic strains,covid,covid-19,covid strains,new strain,new covid strain,vaccine,vaccination,vaccines news,virus vaccine,south africa strain,england strain,news,tedros",PT1H55M56S,hd,False,https://i.ytimg.com/vi/k8cMSNEUwR4/default.jpg,https://www.youtube.com/watch?v=k8cMSNEUwR4
c1DTRqALZNQ,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who holds briefing on pandemic  watch live,Guardian News,News & Politics,none,4327,24,0,4,2020-07-20T22:12:31Z,"coronavirus,guardian,covid,covid 19,covid-19,coronavirus outbreak,coronavirus news,coronavirus symptoms,coronavirus update,covid outbreak,coronavirus cases,coronavirus deaths,vaccine,world,who,who coronavirus live,who briefing,pandemic,2020,news,coronavirus latest,who live,coronavirus live,who update live,coronavirus china,coronavirus live news,the who,the who live,coronavirus death toll",PT23M27S,hd,False,https://i.ytimg.com/vi/c1DTRqALZNQ/default.jpg,https://www.youtube.com/watch?v=c1DTRqALZNQ
pyufiM3jAeI,UCIRYBXDze5krPDzAEOxFGVA,coronavirus the worst of covid is yet to come warns world health organization,Guardian News,News & Politics,none,143495,665,0,603,2020-04-21T05:31:11Z,"who,gdnpfpnewsworld,uk,gdnpfpnewsuk,world health organisation,Tedros Adhanom Ghebreyesus,herd immunity,coronavirus herd immunity,covid-19 herd immunity,coronavirus africa,covid-19 africa,coronavirus,coronavirus who,who briefing,2020,politics,gdnpfpnewspolitics,coronavirus news,coronavirus latest,the who,coronavirus antibodies,coronavirus test,the worst is yet to come,guardian,coronavirus peak,flatten the curve,coronavirus curve,news,antibodies,antogen,corona",PT1M26S,hd,False,https://i.ytimg.com/vi/pyufiM3jAeI/default.jpg,https://www.youtube.com/watch?v=pyufiM3jAeI
LTqG3AlBuFE,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who hold news conference on covid outbreak  as it happened,Guardian News,News & Politics,none,68583,369,0,63,2020-02-27T19:01:02Z,"coronavirus,covid-19,who,world health organisation,virus,virus outbreak,china virus,china,medicine,virology,coronavirus spread,covid,iran,middle east,wuhan,uk,tenerife,coronavirus news,coronavirus latest,epidemic,world epidemic,coronavirus epidemic,face mask,coronavirus who,coronavirus china,coronavirus outbreak 2020,coronavirus press conference,who press conference,live,watch live,world",PT1H10M9S,hd,False,https://i.ytimg.com/vi/LTqG3AlBuFE/default.jpg,https://www.youtube.com/watch?v=LTqG3AlBuFE
vtHVrR6l9-c,UCIRYBXDze5krPDzAEOxFGVA,coronavirus world health organization gives update on pandemic  watch live,Guardian News,News & Politics,none,4021,67,0,13,2021-03-08T17:39:44Z,"coronavirus,coronavirus news,coronavirus update,covax,covax news,covid,covid 19,covid news,covid-19,covid-19 pandemic,director general,ghebreyesus,guardian,guardian video,live,news,politics,presser,tedros,vaccine,vaccines,watch,watch live,who,who live,who livestream,who news briefing,who press conference,world,world health organization,world health organization covid,world health organization live",PT1H33M56S,hd,False,https://i.ytimg.com/vi/vtHVrR6l9-c/default.jpg,https://www.youtube.com/watch?v=vtHVrR6l9-c
hMHC48g8Z6c,UCIRYBXDze5krPDzAEOxFGVA,my covid vlog junior doctor shares insight amid coronavirus outbreak,Guardian News,News & Politics,none,392726,3103,0,384,2020-03-20T20:33:49Z,"coronavirus,covid-19,covid,corona,virus,virus epidemic,pandemic,health,virus news,who,coronavirus news,the guardian,world,gdnpfpnewsworld,uk,gdnpfpnewsuk,NHS,national health service,uk doctors,coronavirus uk,uk cases,panic buying,uk doctor,blog,vlog,coronavirus vlog,coronavirus nhs,science,gdnpfpscience,coronavirus doctors,coronavirus nurses,coronavirus workers,coronavirus pandemic,coronavirus hospitals,coronavirus icu,news,guardian,coronavirus doctor,doctor",PT3M15S,hd,False,https://i.ytimg.com/vi/hMHC48g8Z6c/default.jpg,https://www.youtube.com/watch?v=hMHC48g8Z6c
SAo9Nooi69E,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who holds news conference on covid outbreak  watch live,Guardian News,News & Politics,none,68925,254,0,189,2020-03-02T17:21:36Z,"coronavirus,coronavirus uk,coronavrius outbreak,croronavirus outbreak uk,coronavirus cases uk,virus,corona,virus outbreak uk,coronavirus spread,coronavirus spread uk,covid,covid uk,covid-19,covid 19 uk,coronavirus latest,epidemic,world,china,medicine,virology,coronavirus outbreak 2020,coronavirus press conference,who press conference,live,watch live,who,world health organisation",PT1H49M57S,hd,False,https://i.ytimg.com/vi/SAo9Nooi69E/default.jpg,https://www.youtube.com/watch?v=SAo9Nooi69E
YtigJi9aBVo,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who officials provide update on global pandemic  watch live,Guardian News,News & Politics,none,2080,25,0,4,2020-12-18T18:07:49Z,"who,world health organisation,coronavirus,covid,covid live,covid news,covid update,coronavirus live,coronavirus news,coronavirus who,tedros,who covid,covid briefing,who live,world health organization briefing,pandemic,vaccine,covid vaccine,vaccine rollout,moderna,pfizer,who vaccine,world news,World Health Organization,coronavirus pandemic,covid 19,covid-19,guardian,live,who livestream,2020",PT1H5M46S,hd,False,https://i.ytimg.com/vi/YtigJi9aBVo/default.jpg,https://www.youtube.com/watch?v=YtigJi9aBVo
X1HGjmV9mi8,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who holds briefing on pandemic  watch live,Guardian News,News & Politics,none,1254,18,0,5,2021-02-26T18:12:24Z,"astrazeneca vaccine,corona,corona vaccine,coronavirus,coronavirus latest,covax,covid,covid latest,covid news,covid-19,lockdown,new vaccine,news,pandemic,pandemic latest,social distancing,strain,the guardian,tier,uk news,uk vaccine,vaccine,vaccine all,vaccine latest,vaccine news,vaccine vulnerable,virus,virus news,who,world,world health,world health organization,world news,world pandemic",PT51M16S,hd,False,https://i.ytimg.com/vi/X1HGjmV9mi8/default.jpg,https://www.youtube.com/watch?v=X1HGjmV9mi8
wHfm-ai9h8c,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who hold news conference on covid outbreak  watch live,Guardian News,News & Politics,none,65161,287,0,115,2020-03-09T19:03:48Z,"coronavirus,coronavirus uk,coronavrius outbreak,croronavirus outbreak uk,coronavirus cases uk,uk,virus,virus outbreak uk,coronavirus spread,coronavirus spread uk,covid,covid uk,covid-19,covid 19 uk,coronavirus latest,world,who,world health organiztion,who press conference,who coronavirus,who live,who watch live,live,watch live,china,italy,south korea,iran,guardian,2020,coronavirus news live",PT1H48M12S,hd,False,https://i.ytimg.com/vi/wHfm-ai9h8c/default.jpg,https://www.youtube.com/watch?v=wHfm-ai9h8c
LwwXHr-lH00,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who holds briefing on pandemic  watch live,Guardian News,News & Politics,none,28705,133,0,23,2020-03-27T17:50:37Z,"world,world news,world news coronavirus,world news coronavirus updates,coronavirus,coronavirus news,coronavirus updates,coronavirus WHO,coronavirus WHO latest,coronavirus WHO latest news,coronavirus uk,coronavirus cure,coronavirus 2020,coronavirus death toll,coronavirus cases world wide,covid-19,who,who press conference,live,watch live,virus outbreak,outbreak",PT1H7M25S,hd,False,https://i.ytimg.com/vi/LwwXHr-lH00/default.jpg,https://www.youtube.com/watch?v=LwwXHr-lH00
