video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
WCD-sM3G4r0,UCoMdktPbSTixAyNGwb-UYkQ,covid good news on a coronavirus vaccine progress,Sky News,News & Politics,none,94645,1124,0,414,2020-11-15T11:53:08Z,"Sky News,Sky,Sophy Ridge,Coronavirus,COVID-19,Pandemic,Plandemic,Epidemic,Plague,Vaccine,Biogen,Pfizer,tour,united kingdom,good news,optimism",PT3M47S,hd,False,https://i.ytimg.com/vi/WCD-sM3G4r0/default.jpg,https://www.youtube.com/watch?v=WCD-sM3G4r0
vdx4Jo0GCRU,UCoMdktPbSTixAyNGwb-UYkQ,coronavirus italian citys warning to the rest of the world,Sky News,News & Politics,none,4158394,35997,0,6323,2020-03-22T22:38:40Z,"coronavirus,covid-19,covid 19,bergamo,italy,lombardy,deaths,hospital,health,cemetery,mayor,world,world news,sky news,stuart ramsay,city,dangerous,warning",PT4M53S,hd,False,https://i.ytimg.com/vi/vdx4Jo0GCRU/default.jpg,https://www.youtube.com/watch?v=vdx4Jo0GCRU
tbeHjEGrFOQ,UCoMdktPbSTixAyNGwb-UYkQ,covid what happens when coronavirus hits africa,Sky News,News & Politics,none,109323,542,0,413,2020-04-22T16:49:06Z,"NEWS,SKY NEWS,NEWS.SKY.COM,SKYNEWS.COM,SKY,CORONAVIRUS,AFRICA,COVID-19,MALI,ZIMBABWE,SOUTH AFRICA,JOHANNESBURG,ETHIOPIA,CONGO,REPUBLIC OF CONGO,CORONAVIRUS TESTING,CORONAVIRUS DEATHS,LOCKDOWN,AFRICAN LOCKDOWN,NIGERIA,LIBERIA,SUDAN,TUBERCULOSIS,INFECTION,INJECTIONS,VACCINE,CORONAVIRUS VACCINE,TUBERCULOSIS VACCINE,VENTILATORS,INTENSIVE CARE UNIT,AFRICA CORONAVIRUS BEATINGS,HAS AFRICA GOT CORONAVIRUS,CORONAVIRUS SOUTH AFRICA,CORONAVIRUS NEWS,CORONAVIRUS UPDATE AFRICA",PT7M32S,hd,False,https://i.ytimg.com/vi/tbeHjEGrFOQ/default.jpg,https://www.youtube.com/watch?v=tbeHjEGrFOQ
aFF_yz_d28Y,UCoMdktPbSTixAyNGwb-UYkQ,coronavirus turkeys covid detectives on the hunt,Sky News,News & Politics,none,39546,543,0,126,2020-08-05T10:11:02Z,"istanbul,turkey,asia,coronavirus,covid-19,track,trace,alex crawford,sky news,uk,hydroxychloroquine,donald trump,united states,Nurettin Yiyit,china,health,mosque,islam,muslim,Recep Tayyip Erdoğan",PT3M50S,hd,False,https://i.ytimg.com/vi/aFF_yz_d28Y/default.jpg,https://www.youtube.com/watch?v=aFF_yz_d28Y
karrrvGGD5I,UCoMdktPbSTixAyNGwb-UYkQ,coronavirus the misinformation outbreak,Sky News,News & Politics,none,71816,483,0,185,2020-03-09T14:19:07Z,"NEWS,SKY NEWS,NEWS.SKY.COM,SKYNEWS.COM,SKY,sars,bird flu,mers,coronavirus,virus,china,wuhan,wuhan virus,symptoms,coronavirus advice,outbreak,pandemic,treatment,diagnosis,chinese,respiratory,fever,travel,quarantine,medicine,viral infection,epidemic,what is coronavirus,covid19,covid,coronavirus uk,prevention,superspreader,self isolation,coronavirus symptoms,china virus,coronavirus update,italy,northern italy,death,misinformation,myths,fake news,coronavirus death",PT4M17S,hd,False,https://i.ytimg.com/vi/karrrvGGD5I/default.jpg,https://www.youtube.com/watch?v=karrrvGGD5I
zThMj6xmWY0,UCoMdktPbSTixAyNGwb-UYkQ,covid half of britons would not get a coronavirus vaccination,Sky News,News & Politics,none,771719,5326,0,4767,2020-08-09T16:58:50Z,"sky,news,india,coronavirus,cases,covid19,covid-19,virus,pandemic,testing,tests,infection,infections,death,rate,increasing,doubled,covid,social,distancing,slums,poor,poorest,public,health,healthcare,system,hospitals,ppe,corona,government,doctors,nurses,protests,equipment,personal,protective,ANTI-VAX,ANTI-VAXXER,VACCINATIONS,CONSPIRACY,DISINFORMATION,MEDICAL",PT2M52S,hd,False,https://i.ytimg.com/vi/zThMj6xmWY0/default.jpg,https://www.youtube.com/watch?v=zThMj6xmWY0
eXJhvAtDVwI,UCoMdktPbSTixAyNGwb-UYkQ,coronavirus in bergamo the sirens never stop,Sky News,News & Politics,none,1059145,9028,0,1432,2020-03-25T22:51:13Z,"SKY NEWS,BREAKING,LIVE,CORONAVIRUS,COVID-19,SELF ISOLATION,QUARANTINE,MATT HANCOCK,BORIS JOHNSON,PANIC BUYING,NHS,SOCIAL DISTANCING,RESTRICTIONS,INFECTION,VIRUS,WUHAN,CHINA,LOCKDOWN,BERGAMO,ITALY,STUART RAMSAY",PT4M38S,hd,False,https://i.ytimg.com/vi/eXJhvAtDVwI/default.jpg,https://www.youtube.com/watch?v=eXJhvAtDVwI
p6_oz0xsVSQ,UCoMdktPbSTixAyNGwb-UYkQ,covid senior scientists warn of future coronavirus variant risk,Sky News,Entertainment,none,40220,307,0,324,2022-02-21T20:04:56Z,"PRIME MINISTER,COVID-19,CORONAVIRUS,ENGLAND,PANDEMIC,VARIANTS,RULES,RESTRICTIONS,MEASURES,SELF-ISOLATION,NEWS CONFERENCE,CHRIS WHITTY,PATRICK VALLANCE,BORIS JOHNSON,SKY NEWS LIVE,UK LATEST LIVE,Sky News,Sky,Sir Chris Whitty,Sir Patrick Vallance,Risk,Harm",PT5M19S,hd,False,https://i.ytimg.com/vi/p6_oz0xsVSQ/default.jpg,https://www.youtube.com/watch?v=p6_oz0xsVSQ
K5HBgD0XQ1s,UCoMdktPbSTixAyNGwb-UYkQ,covid uk reports highest ever number of daily coronavirus deaths,Sky News,News & Politics,none,86329,396,0,845,2021-01-08T16:44:38Z,"COVID-19,Coronavirus,Pandemic,Health,Politics,Deaths,Positive Tests,Cases,Hospitals,Ventilators,Lockdown,ONS,Daily figures,R Rate",PT6M23S,hd,False,https://i.ytimg.com/vi/K5HBgD0XQ1s/default.jpg,https://www.youtube.com/watch?v=K5HBgD0XQ1s
50gk7vz7UHU,UCoMdktPbSTixAyNGwb-UYkQ,covid extremely unlikely coronavirus came from wuhan lab,Sky News,News & Politics,none,128569,522,0,1404,2021-02-09T17:56:26Z,"WUHAN,CHINA,WHO,WORLD HEALTH ORGANISATION,COVID,CORONAVIRUS,VIRUS,PANDEMIC,HEALTH,INVESTIGATION,VACCINE,MASKS,REPORT,FINDINGS,NEWS,SKY NEWS",PT2M35S,hd,False,https://i.ytimg.com/vi/50gk7vz7UHU/default.jpg,https://www.youtube.com/watch?v=50gk7vz7UHU
bjqTJyokMyQ,UCoMdktPbSTixAyNGwb-UYkQ,what impact has the global coronavirus lockdown had on pollution,Sky News,News & Politics,none,347236,3798,0,759,2020-04-22T19:20:10Z,"covid-19,coronavirus,death,uk,united kingdom,wales,covid,virus,pandemic,epidemic,outbreak,figures,covid19,britain,british,great britain,nhs,ireland,dead,disease,sky,news,latest,public health,rise,government,death rate,how many people have died from coronavirus in the uk,how many people died from coronavirus,corona,corona virus,testing,lockdown,global lockdown,pollution levels,climate change,world earth day",PT2M16S,hd,False,https://i.ytimg.com/vi/bjqTJyokMyQ/default.jpg,https://www.youtube.com/watch?v=bjqTJyokMyQ
mrJXwTOejcg,UCoMdktPbSTixAyNGwb-UYkQ,lockdown memories how the united kingdom dealt with coronavirus,Sky News,News & Politics,none,17401,181,0,91,2020-06-23T19:41:52Z,"SKY,NEWS,LIVE,LOCKDOWN,PRIME,MINISTER,UNITED,KINGDOM,MEMORIES,UK,POPULATION,CHANGE,LIVES,CORONAVIRUS,PANDEMIC,EPIDEMIC,CHINNA",PT1M51S,hd,False,https://i.ytimg.com/vi/mrJXwTOejcg/default.jpg,https://www.youtube.com/watch?v=mrJXwTOejcg
AcXAKYi7Fik,UCoMdktPbSTixAyNGwb-UYkQ,coronavirus how much covid is costing the uk government,Sky News,News & Politics,none,267201,888,0,656,2020-05-22T19:25:01Z,"coronavirus,covid19,covid-19,uk,borrowing,record,high,kelso,sky,news,latest,economy,government,deficit,debt,economic,spending,business,businesses,furlough,scheme,jobs,job,retention,borrow,money,cost,costs",PT2M10S,hd,False,https://i.ytimg.com/vi/AcXAKYi7Fik/default.jpg,https://www.youtube.com/watch?v=AcXAKYi7Fik
